country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
USA,1980,2,short,4,S008,101946.48,50.12,30.46,21.24,26.82,61.08,113.75,195.91,274.41,427.31,643.89,1103.98,1604.06,2619.1,3985.89,6536.91,10363.38,15799.36,20812.76,37276.06,20380.18,16895.99,12370.48,4524.11,3842.54,680.8
USA,1980,2,short,4,S009,26959.69,19.01,2.12,1.08,5.29,13.78,39.43,42.7,54.96,91.93,122.43,205.01,325.13,527.48,899.85,1542.84,2385.39,3519.34,5029.25,12132.69,5700.79,6435.41,4308.83,2128.78,1712.68,417.43
USA,1980,2,short,4,S010,20306.69,374.45,131.31,48.75,39.06,66.04,83.94,89.8,106.81,130.05,144.62,177.64,273.36,489.05,595.73,942.65,1415.96,2269.64,3810.8,9117.05,4398.7,4720.56,3232.97,1488.71,1209.72,279.71
USA,1980,2,short,4,S011,27371.57,218.06,73.08,36.81,50.46,87.62,99.27,117.36,149.69,178.91,271.24,480.58,877.98,1646.2,2659.15,3705.76,4328.54,4220.58,3506.11,4664.16,2735.23,1928.25,1395.42,532.78,448.17,84.6
USA,1980,2,short,4,S012,33803.56,211.26,48.9,28.18,27.97,73.51,142.13,248.61,500.14,692.08,1029.42,1436.42,2168.71,2692.1,2943.39,3433.19,3649.07,3973.4,4134.51,6370.57,3578.05,2792.19,2061.62,730.22,631.84,98.05
USA,1980,2,short,4,S013,6602.24,18.89,9.28,11.56,20.51,63.72,105.67,107.47,132.48,130.72,142.9,183.79,266.86,378.57,490.08,636.29,757.81,843.57,904.07,1397.99,788.9,609,445.26,163.7,136.67,27.04
USA,1980,2,short,4,S014,15697.23,124.4,16.7,16.41,7.89,67.02,125.69,162.34,181.32,157.87,158.67,248.31,361.82,554.78,869.41,1213.4,1797.95,2325.73,2747.53,4560,2553.67,2006.12,1455.28,550.76,454.21,96.7
USA,1980,2,short,4,S015,19018.38,16710.07,505.68,153.26,130.17,133.31,134.3,106.39,101.96,92.48,71.58,90.55,103.53,129.65,108.64,106.98,107.51,102.85,50.76,78.72,46.88,31.83,24.15,7.67,5.84,1.84
USA,1980,2,short,4,S016,45151.09,658.5,1560.08,973.04,987.29,3848.4,4301.31,3481.3,2829.07,2272.36,2026.85,1940.56,2154.68,2159.89,2052.54,2077.96,2296.44,2597.62,2620.67,4312.55,2389.86,1922.58,1410.85,511.55,444.66,66.62
USA,1980,3,short,4,S000,1989841,45537.82,8195.58,5079.7,5619.67,20756.18,28328.9,25763.06,24533.14,25675.5,32780.09,49807.77,83396.99,126050.18,166203.18,216322.54,250394.01,263662.84,253694.86,358039,205993.01,152046,111492.65,40553.35,34331.95,6221.4
USA,1980,3,short,4,S001,21205.46,760.18,378.52,134.42,91.26,184.41,229.31,269.17,276.13,349.91,387.1,545.11,941.24,1387.57,1626.28,2170.06,2556.01,2665.77,2590.77,3662.27,2137.72,1524.44,1131.89,392.47,318.72,73.99
USA,1980,3,short,4,S002,433090.2,190.64,659.6,850.1,791.86,1239.33,1666.81,2216.38,3270.62,4945.38,8169.83,14821.47,27649.34,42857.22,54703.71,65492.88,66240.18,57094.02,42248.72,37982.11,25739.79,12230.05,9756.6,2468.96,2203.25,263.89
USA,1980,3,short,4,S003,6024.04,141.18,128.85,66.76,49.73,79.53,142.29,139.02,164.23,145.63,141.9,175.93,264.97,308.63,409.99,534.66,640.82,724.88,747.49,1017.56,605.48,412.01,293.47,118.58,97.93,20.69
USA,1980,3,short,4,S004,48800.49,397.29,203.11,213.65,174.38,215.15,264.69,412.43,518.49,616.69,764,1148.78,1980.3,3191.58,4335.37,5883.1,6919.02,7187.38,6401.64,7973.43,4869.29,3103,2307.47,795.27,673.62,121.63
USA,1980,3,short,4,S005,16490.44,13.19,43.79,29.22,41.36,92.94,276.5,495.41,535.9,599.04,592.14,800.15,979.12,995.31,932.35,1009.36,1169.62,1441.87,2231.69,4211.49,2278.14,1933.81,1382.44,551.61,459.14,92.6
USA,1980,3,short,4,S006,25252.73,1009.84,743.08,324.74,356.9,528.31,583.69,478.99,532.19,572.86,579.15,738.59,1182.59,1651.9,2125.47,2644.01,3041.42,3095.98,2491.34,2571.67,1580.41,990.94,749.15,241.65,205.02,36.63
USA,1980,3,short,4,S007,765787.32,580.82,314.64,131.54,172.02,457.49,734.94,1121.23,1989.86,3870.38,7608.14,14273.57,26954.34,44789.04,62581.5,85826.05,104527.17,115846.59,117283.27,176724.71,99244.95,77487.32,56399.57,21090.18,17825.82,3264.75
USA,1980,3,short,4,S008,174040.31,128.68,59.22,43.56,52.25,133.43,270.46,382.1,560.48,832.63,1320.44,2157.51,3564.7,5608.82,8792.75,13995.3,20956.09,28604.88,33635.9,52941.11,30060.41,22881.13,16914.7,5965.11,5089.45,874.86
USA,1980,3,short,4,S009,54266.66,37.9,5.06,5.85,10.46,31.37,84.71,103.82,150.88,229.6,327.73,563.91,1029.79,1855.63,3140.33,4851.54,6534.09,7907.43,9247.76,18148.79,9125.55,9027.71,6171.39,2859.09,2326.52,534.14
USA,1980,3,short,4,S010,40642.5,906.25,297.39,99.91,81.01,124.33,178.49,225.52,252.09,341.48,396.78,538.81,800.44,1288.99,1681.12,2538.1,3547.39,5012.91,7378.46,14953.05,7657.76,7298.58,5125.18,2174.9,1789.68,386.11
USA,1980,3,short,4,S011,80152.63,518.71,181.41,73.69,114.92,190.18,245.62,286.17,347.24,374.46,609.74,1173.79,2359.85,4607.32,7965.67,11929.61,14327.41,13810.05,10362.61,10674.16,6874.04,3798.38,2879.14,918.89,789.48,129.29
USA,1980,3,short,4,S012,75320.77,502.71,117.83,55.67,67.2,154.22,306.89,684.2,1388.29,2032.57,2934.2,4171.33,6178.91,7475.15,8015.09,8643.44,8290.69,7731.58,6982.5,9588.31,5600.02,3987.92,2964.14,1023.48,900.97,121.95
USA,1980,3,short,4,S013,10367.96,37.14,24.15,17.74,34.39,90.05,133.24,144.98,181.77,174.37,221.98,290.77,424.72,617.96,863.51,1127.58,1319.86,1357.55,1349.96,1956.24,1133.95,822.21,603.9,218.28,182.54,35.77
USA,1980,3,short,4,S014,31015.95,291.43,33.99,21.75,22.3,89.28,176.24,250.27,301.2,299.62,333.62,522.98,748.24,1203.85,1885.53,2785.62,3857.7,4807.92,5253.65,8130.75,4668.21,3462.66,2540.16,922.56,774.43,148.29
USA,1980,3,short,4,S015,43540.79,38512.87,1113.89,330.31,263.19,311.43,313.51,255.31,250.84,210.84,161.33,205.18,238.5,287.14,234.42,228.63,212.41,187.55,113.57,109.84,64.53,45.3,34.98,10.31,8.35,1.97
USA,1980,3,short,4,S016,163842.75,1508.97,3891.04,2680.79,3296.44,16834.73,22721.52,18298.07,13812.94,10080.04,8231.99,7679.91,8099.94,7924.07,6910.1,6662.59,6254.12,6186.49,5375.51,7393.5,4352.76,3040.53,2238.45,802.02,687.03,114.84
USA,1981,1,short,4,S000,1064262,24478.55,4660.41,2789.9,3420.51,13469.34,20207.73,19172.12,17727.17,16953.68,20769,30868.71,50908.59,77886.47,104102.74,130302.48,145058.84,138322.63,115051.78,128111.36,80237.44,47873.92,36312.29,11561.63,10058.1,1503.53
USA,1981,1,short,4,S001,11467.01,436.85,214.68,61.04,54,79.93,130.68,197.17,227.97,190.95,251.55,384.1,583.02,840.25,1038.93,1261.8,1375.62,1439.72,1264.25,1434.5,878.45,556.12,414.49,141.68,113.67,28.19
USA,1981,1,short,4,S002,236870.89,92.28,421.03,415.39,409.84,665.37,904.48,1151.81,1514.44,2098.04,3785.59,7103.07,14074.38,23317.84,31560,38439.28,39142.21,32202.93,22084.86,17488.06,12360.67,5122.38,4235.52,884.34,802.73,80.98
