"","Pop","Year","Sex","Cause","Age","Count"
"158","USA",2000,1,"S002",46,1710.3170260569
"159","USA",2000,1,"S002",47,1917.58783806616
"160","USA",2000,1,"S002",48,2137.10897293142
"161","USA",2000,1,"S002",49,2366.50748590938
"162","USA",2000,1,"S002",50,2603.49742857337
"163","USA",2000,1,"S002",51,2844.9695436955
"164","USA",2000,1,"S002",52,3088.07644710636
"165","USA",2000,1,"S002",53,3330.77667638655
"166","USA",2000,1,"S002",54,3570.76214241811
"167","USA",2000,1,"S002",55,3809.11734893753
"168","USA",2000,1,"S002",56,4045.03684895067
"169","USA",2000,1,"S002",57,4282.78988707982
"170","USA",2000,1,"S002",58,4523.25214884398
"171","USA",2000,1,"S002",59,4772.66624806917
"172","USA",2000,1,"S002",60,5033.37254078304
"173","USA",2000,1,"S002",61,5312.7901550581
"174","USA",2000,1,"S002",62,5614.18622466494
"175","USA",2000,1,"S002",63,5941.77713281781
"176","USA",2000,1,"S002",64,6298.05580508664
"177","USA",2000,1,"S002",65,6680.48244717579
"178","USA",2000,1,"S002",66,7088.82446698664
"179","USA",2000,1,"S002",67,7514.12634330931
"180","USA",2000,1,"S002",68,7952.44441416563
"181","USA",2000,1,"S002",69,8390.14105441411
"182","USA",2000,1,"S002",70,8819.44206649616
"183","USA",2000,1,"S002",71,9221.07523902113
"184","USA",2000,1,"S002",72,9583.20831889235
"185","USA",2000,1,"S002",73,9879.93442244903
"186","USA",2000,1,"S002",74,10096.4785475342
"187","USA",2000,1,"S002",75,10203.8388316188
"188","USA",2000,1,"S002",76,10189.9587581248
"189","USA",2000,1,"S002",77,10045.5742902996
"190","USA",2000,1,"S002",78,9773.44050801879
"191","USA",2000,1,"S002",79,9397.97370837369
"192","USA",2000,1,"S002",80,8937.80198943044
"193","USA",2000,1,"S002",81,8426.17383210276
"194","USA",2000,1,"S002",82,7882.06130930827
"195","USA",2000,1,"S002",83,7308.09708453304
"196","USA",2000,1,"S002",84,6712.17362881127
"197","USA",2000,1,"S002",85,6081.35459143751
"198","USA",2000,1,"S002",86,5423.52196446708
"199","USA",2000,1,"S002",87,4742.95406280286
"200","USA",2000,1,"S002",88,4058.8943454921
"201","USA",2000,1,"S002",89,3392.89186133344
"202","USA",2000,1,"S002",90,2767.46580005258
"203","USA",2000,1,"S002",91,2201.85486050384
"204","USA",2000,1,"S002",92,1708.4246363874
"205","USA",2000,1,"S002",93,1293.57764474021
"206","USA",2000,1,"S002",94,956.25831662301
"207","USA",2000,1,"S002",95,691.076571449903
"208","USA",2000,1,"S002",96,488.730774922543
"209","USA",2000,1,"S002",97,339.109765739452
"210","USA",2000,1,"S002",98,231.327503757728
"211","USA",2000,1,"S002",99,155.699857741078
"212","USA",2000,1,"S002",100,103.715634258965
"213","USA",2000,1,"S002",101,68.5856125620681
"214","USA",2000,1,"S002",102,45.1530873505841
"215","USA",2000,1,"S002",103,29.6346737939364
"216","USA",2000,1,"S002",104,19.4162923945532
"217","USA",2000,1,"S002",105,12.706274654697
"218","USA",2000,1,"S002",106,8.31017466844968
"219","USA",2000,1,"S002",107,5.43285466689557
"220","USA",2000,1,"S002",108,3.55119244246212
"221","USA",2000,1,"S002",109,2.32100256670678
"222","USA",2000,1,"S002",110,1.51693525461836
"223","USA",2000,1,"S003",0,14.0400252557609
"224","USA",2000,1,"S003",1,13.04705156536
"225","USA",2000,1,"S003",2,12.1394188399037
"226","USA",2000,1,"S003",3,11.317326157986
"227","USA",2000,1,"S003",4,10.5830937218291
"228","USA",2000,1,"S003",5,9.93490257364503
"229","USA",2000,1,"S003",6,9.37090859463115
"230","USA",2000,1,"S003",7,8.88772868001255
"231","USA",2000,1,"S003",8,8.4814315937837
"232","USA",2000,1,"S003",9,8.14837826354641
"233","USA",2000,1,"S003",10,7.88457260068999
"234","USA",2000,1,"S003",11,7.68724332593032
"235","USA",2000,1,"S003",12,7.55320806126476
"236","USA",2000,1,"S003",13,7.48084255951512
"237","USA",2000,1,"S003",14,7.46822066546923
"238","USA",2000,1,"S003",15,7.51482168309831
"239","USA",2000,1,"S003",16,7.62026570641243
"240","USA",2000,1,"S003",17,7.78507310610651
"241","USA",2000,1,"S003",18,8.01050970536702
"242","USA",2000,1,"S003",19,8.2980151763104
"243","USA",2000,1,"S003",20,8.65019382601041
"244","USA",2000,1,"S003",21,9.06877242538971
"245","USA",2000,1,"S003",22,9.5578594732343
"246","USA",2000,1,"S003",23,10.119817085542
"247","USA",2000,1,"S003",24,10.7601101024368
"248","USA",2000,1,"S003",25,11.4817137740463
"249","USA",2000,1,"S003",26,12.2907835619133
"250","USA",2000,1,"S003",27,13.1897988386665
"251","USA",2000,1,"S003",28,14.184358087388
"252","USA",2000,1,"S003",29,15.2741736830322
"253","USA",2000,1,"S003",30,16.4626522702539
"254","USA",2000,1,"S003",31,17.7442925418372
"255","USA",2000,1,"S003",32,19.1188367882353
"256","USA",2000,1,"S003",33,20.5746598915648
"257","USA",2000,1,"S003",34,22.1063551759489
"258","USA",2000,1,"S003",35,23.6952765106324
"259","USA",2000,1,"S003",36,25.330177080555
"260","USA",2000,1,"S003",37,26.9863177981766
"261","USA",2000,1,"S003",38,28.6476328906637
"262","USA",2000,1,"S003",39,30.2873871589691
"263","USA",2000,1,"S003",40,31.8869153650592
"264","USA",2000,1,"S003",41,33.4214324661937
"265","USA",2000,1,"S003",42,34.8712981467207
"266","USA",2000,1,"S003",43,36.2129407243654
"267","USA",2000,1,"S003",44,37.4274834106
"268","USA",2000,1,"S003",45,38.4940267076116
"269","USA",2000,1,"S003",46,39.3988604771389
"270","USA",2000,1,"S003",47,40.1355022107493
"271","USA",2000,1,"S003",48,40.7012589840124
"272","USA",2000,1,"S003",49,41.1180986642594
"273","USA",2000,1,"S003",50,41.3957104910799
"274","USA",2000,1,"S003",51,41.582705738883
"275","USA",2000,1,"S003",52,41.695841144968
"276","USA",2000,1,"S003",53,41.7926355768762
"277","USA",2000,1,"S003",54,41.8920538610857
"278","USA",2000,1,"S003",55,42.0546838061858
"279","USA",2000,1,"S003",56,42.2992291511497
"280","USA",2000,1,"S003",57,42.6795822136337
"281","USA",2000,1,"S003",58,43.2131815760692
"282","USA",2000,1,"S003",59,43.9386318959862
"283","USA",2000,1,"S003",60,44.8730522009436
"284","USA",2000,1,"S003",61,46.0409375474765
"285","USA",2000,1,"S003",62,47.4603655789912
"286","USA",2000,1,"S003",63,49.1410148198861
"287","USA",2000,1,"S003",64,51.1004404902374
"288","USA",2000,1,"S003",65,53.3276830566313
"289","USA",2000,1,"S003",66,55.8351966007368
"290","USA",2000,1,"S003",67,58.593112837635
"291","USA",2000,1,"S003",68,61.6044424580421
"292","USA",2000,1,"S003",69,64.8222137310087
"293","USA",2000,1,"S003",70,68.2354811110021
"294","USA",2000,1,"S003",71,71.7750024215167
"295","USA",2000,1,"S003",72,75.4108512783486
"296","USA",2000,1,"S003",73,79.0577256005917
"297","USA",2000,1,"S003",74,82.6680813448136
"298","USA",2000,1,"S003",75,86.1439104776307
"299","USA",2000,1,"S003",76,89.4220012590735
"300","USA",2000,1,"S003",77,92.3664602565397
"301","USA",2000,1,"S003",78,94.8905684341138
"302","USA",2000,1,"S003",79,96.7994280463908
"303","USA",2000,1,"S003",80,97.9837184196437
"304","USA",2000,1,"S003",81,98.2317972394096
"305","USA",2000,1,"S003",82,97.4537980641114
"306","USA",2000,1,"S003",83,95.5345138601039
"307","USA",2000,1,"S003",84,92.4771510406975
"308","USA",2000,1,"S003",85,88.3088505803703
"309","USA",2000,1,"S003",86,83.1495369564978
"310","USA",2000,1,"S003",87,77.165227693818
"311","USA",2000,1,"S003",88,70.5659297844122
"312","USA",2000,1,"S003",89,63.5955893721864
"313","USA",2000,1,"S003",90,56.4869294238788
"314","USA",2000,1,"S003",91,49.479649887476
"315","USA",2000,1,"S003",92,42.7596486720972
"316","USA",2000,1,"S003",93,36.5004703634609
"317","USA",2000,1,"S003",94,30.8018277811159
"318","USA",2000,1,"S003",95,25.7375528712587
"319","USA",2000,1,"S003",96,21.3195302920358
"320","USA",2000,1,"S003",97,17.5327352926736
"321","USA",2000,1,"S003",98,14.3313145564091
"322","USA",2000,1,"S003",99,11.6574280721481
"323","USA",2000,1,"S003",100,9.44577288111571
"324","USA",2000,1,"S003",101,7.63096888766672
"325","USA",2000,1,"S003",102,6.15160105940906
"326","USA",2000,1,"S003",103,4.95101784498035
"327","USA",2000,1,"S003",104,3.98044121649498
"328","USA",2000,1,"S003",105,3.19760918238899
"329","USA",2000,1,"S003",106,2.56753281282229
"330","USA",2000,1,"S003",107,2.06094542818726
"331","USA",2000,1,"S003",108,1.65406349966049
"332","USA",2000,1,"S003",109,1.32738863836769
"333","USA",2000,1,"S003",110,1.06521274917579
"334","USA",2000,1,"S004",0,49.6306984607093
"335","USA",2000,1,"S004",1,42.9691933847861
"336","USA",2000,1,"S004",2,37.3611497907116
"337","USA",2000,1,"S004",3,32.7054721011664
"338","USA",2000,1,"S004",4,28.9088135949428
"339","USA",2000,1,"S004",5,25.8605564433091
"340","USA",2000,1,"S004",6,23.4539240297714
"341","USA",2000,1,"S004",7,21.5979644911606
"342","USA",2000,1,"S004",8,20.2058235443769
"343","USA",2000,1,"S004",9,19.2146399753607
"344","USA",2000,1,"S004",10,18.5657355491029
"345","USA",2000,1,"S004",11,18.2200367774718
"346","USA",2000,1,"S004",12,18.1471706544675
"347","USA",2000,1,"S004",13,18.3285507587405
"348","USA",2000,1,"S004",14,18.754782570565
"349","USA",2000,1,"S004",15,19.4220522470332
"350","USA",2000,1,"S004",16,20.3353803305151
"351","USA",2000,1,"S004",17,21.5001093843376
"352","USA",2000,1,"S004",18,22.9325362413276
"353","USA",2000,1,"S004",19,24.6447162160527
"354","USA",2000,1,"S004",20,26.6607726030487
"355","USA",2000,1,"S004",21,28.9954727488353
"356","USA",2000,1,"S004",22,31.6793040375565
"357","USA",2000,1,"S004",23,34.7295632827001
"358","USA",2000,1,"S004",24,38.1823628493172
"359","USA",2000,1,"S004",25,42.0592954810037
"360","USA",2000,1,"S004",26,46.4009720331921
"361","USA",2000,1,"S004",27,51.2333005900439
"362","USA",2000,1,"S004",28,56.5992695308842
"363","USA",2000,1,"S004",29,62.525853305691
"364","USA",2000,1,"S004",30,69.0584705859755
"365","USA",2000,1,"S004",31,76.2288853490511
"366","USA",2000,1,"S004",32,84.0902469725708
"367","USA",2000,1,"S004",33,92.6951995363669
"368","USA",2000,1,"S004",34,102.118141359235
"369","USA",2000,1,"S004",35,112.462923283303
"370","USA",2000,1,"S004",36,123.830828259871
"371","USA",2000,1,"S004",37,136.359803777758
"372","USA",2000,1,"S004",38,150.151923564215
"373","USA",2000,1,"S004",39,165.268863966136
